Experiment Results - 20250816_184713
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
     Upper |  165 |    291 |   0.660 |   0.474 |   1.689 |   0.249 |       0.000 |       0.000 |  915.687 |  138.375
     Upper |  166 |    280 |   0.639 |   0.480 |   1.679 |   0.251 |       0.000 |       0.000 |  894.536 |  142.568
     Upper |  167 |    279 |   0.681 |   0.466 |   1.651 |   0.263 |       0.000 |       0.000 |  899.330 |  148.290
     Upper |  168 |    292 |   0.640 |   0.480 |   1.617 |   0.244 |       0.000 |       0.000 |  904.339 |  151.728
     Upper |  169 |    298 |   0.581 |   0.493 |   1.669 |   0.253 |       0.000 |       0.000 |  912.262 |  144.362
     Upper |  170 |    306 |   0.673 |   0.469 |   1.680 |   0.266 |       0.000 |       0.000 |  903.725 |  147.436
     Upper |  171 |    287 |   0.672 |   0.469 |   1.658 |   0.244 |       0.000 |       0.000 |  918.937 |  143.321
     Upper |  172 |    298 |   0.664 |   0.472 |   1.656 |   0.258 |       0.000 |       0.000 |  893.651 |  153.035
     Upper |  173 |    292 |   0.606 |   0.489 |   1.637 |   0.254 |       0.000 |       0.000 |  890.301 |  156.470
     Upper |  174 |    320 |   0.644 |   0.479 |   1.669 |   0.248 |       0.000 |       0.000 |  890.159 |  150.101
     Upper |  175 |    285 |   0.604 |   0.489 |   1.666 |   0.241 |       0.000 |       0.000 |  905.449 |  150.717
     Upper |  176 |    295 |   0.647 |   0.478 |   1.680 |   0.243 |       0.000 |       0.000 |  900.956 |  147.161
     Upper |  177 |    265 |   0.634 |   0.482 |   1.662 |   0.247 |       0.000 |       0.000 |  913.091 |  149.480
     Upper |  178 |    281 |   0.633 |   0.482 |   1.646 |   0.235 |       0.000 |       0.000 |  903.310 |  152.654
     Upper |  179 |    313 |   0.610 |   0.488 |   1.661 |   0.240 |       0.000 |       0.000 |  897.364 |  139.342
     Upper |  180 |    273 |   0.645 |   0.479 |   1.681 |   0.243 |       0.000 |       0.000 |  893.271 |  158.756
     Upper |  181 |    297 |   0.673 |   0.469 |   1.638 |   0.255 |       0.000 |       0.000 |  911.428 |  148.158
     Upper |  182 |    293 |   0.638 |   0.481 |   1.658 |   0.261 |       0.000 |       0.000 |  899.512 |  145.255
     Upper |  183 |    288 |   0.580 |   0.494 |   1.661 |   0.255 |       0.000 |       0.000 |  886.896 |  140.813
     Upper |  184 |    285 |   0.670 |   0.470 |   1.670 |   0.279 |       0.000 |       0.000 |  884.411 |  155.082
     Upper |  185 |    267 |   0.659 |   0.474 |   1.625 |   0.226 |       0.000 |       0.000 |  907.266 |  148.921
     Upper |  186 |    308 |   0.610 |   0.488 |   1.650 |   0.237 |       0.000 |       0.000 |  895.175 |  137.152
     Upper |  187 |    270 |   0.589 |   0.492 |   1.661 |   0.261 |       0.000 |       0.000 |  916.941 |  144.109
     Upper |  188 |    296 |   0.608 |   0.488 |   1.655 |   0.227 |       0.000 |       0.000 |  900.348 |  144.979
     Upper |  189 |    288 |   0.618 |   0.486 |   1.649 |   0.223 |       0.000 |       0.000 |  898.375 |  149.693
     Upper |  190 |    299 |   0.625 |   0.484 |   1.656 |   0.232 |       0.000 |       0.000 |  884.803 |  152.762
     Upper |  191 |    274 |   0.599 |   0.490 |   1.653 |   0.226 |       0.000 |       0.000 |  912.646 |  140.663
     Upper |  192 |    289 |   0.644 |   0.479 |   1.646 |   0.241 |       0.000 |       0.000 |  894.467 |  131.575
     Upper |  193 |    290 |   0.679 |   0.467 |   1.651 |   0.227 |       0.000 |       0.000 |  897.248 |  134.736
     Upper |  194 |    282 |   0.660 |   0.474 |   1.670 |   0.229 |       0.000 |       0.000 |  896.188 |  144.728
     Upper |  195 |    282 |   0.628 |   0.483 |   1.619 |   0.244 |       0.000 |       0.000 |  909.504 |  145.774
     Upper |  196 |    301 |   0.591 |   0.492 |   1.657 |   0.227 |       0.000 |       0.000 |  889.571 |  143.475
     Upper |  197 |    292 |   0.596 |   0.491 |   1.656 |   0.252 |       0.000 |       0.000 |  882.503 |  136.990
     Upper |  198 |    280 |   0.618 |   0.486 |   1.620 |   0.228 |       0.000 |       0.000 |  903.425 |  141.448
     Upper |  199 |    288 |   0.622 |   0.485 |   1.630 |   0.238 |       0.000 |       0.000 |  897.160 |  146.004
 Randomize |    1 |    519 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
 Randomize |    2 |    318 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
 Randomize |    3 |    215 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
 Randomize |    4 |    175 |   0.903 |   0.296 |     inf |     nan |       0.960 |       0.196 |  141.669 |   51.485
 Randomize |    5 |    321 |   0.816 |   0.387 |     inf |     nan |       0.707 |       0.455 |  953.645 |  309.701
 Randomize |    6 |    265 |   0.796 |   0.403 |     inf |     nan |       0.642 |       0.480 | 1162.838 |  373.493
 Randomize |    7 |    213 |   0.789 |   0.408 |     inf |     nan |       0.676 |       0.468 | 1183.014 |  401.066
 Randomize |    8 |    308 |   0.766 |   0.423 |   3.408 |     nan |       0.464 |       0.499 | 1278.890 |  423.297
 Randomize |    9 |    303 |   0.779 |   0.415 |   3.606 |     nan |       0.475 |       0.499 | 1105.630 |  396.103
 Randomize |   10 |    234 |   0.718 |   0.450 |   2.850 |     nan |       0.440 |       0.496 | 1115.726 |  389.780
 Randomize |   11 |    328 |   0.716 |   0.451 |   2.228 |     nan |       0.250 |       0.433 | 1197.335 |  391.243
 Randomize |   12 |    280 |   0.714 |   0.452 |   2.311 |     nan |       0.282 |       0.450 | 1124.925 |  375.581
 Randomize |   13 |    242 |   0.711 |   0.453 |   2.450 |     nan |       0.314 |       0.464 | 1027.860 |  339.977
 Randomize |   14 |    248 |   0.685 |   0.464 |   2.398 |     nan |       0.286 |       0.452 | 1012.952 |  357.060
 Randomize |   15 |    302 |   0.728 |   0.445 |   2.138 |     nan |       0.159 |       0.366 | 1099.788 |  347.958
 Randomize |   16 |    278 |   0.712 |   0.453 |   1.985 |     nan |       0.122 |       0.328 | 1050.165 |  346.085
 Randomize |   17 |    251 |   0.685 |   0.464 |   2.050 |     nan |       0.143 |       0.351 | 1028.359 |  349.677
 Randomize |   18 |    303 |   0.667 |   0.471 |   1.929 |     nan |       0.096 |       0.294 | 1088.818 |  319.751
 Randomize |   19 |    287 |   0.728 |   0.445 |   1.969 |     nan |       0.105 |       0.306 | 1024.613 |  309.699
 Randomize |   20 |    228 |   0.675 |   0.468 |   1.934 |     nan |       0.096 |       0.295 | 1018.890 |  328.073
 Randomize |   21 |    309 |   0.650 |   0.477 |   1.835 |     nan |       0.045 |       0.208 | 1104.078 |  331.261
 Randomize |   22 |    296 |   0.686 |   0.464 |   1.876 |     nan |       0.061 |       0.239 | 1017.378 |  311.313
 Randomize |   23 |    271 |   0.731 |   0.444 |   1.967 |     nan |       0.085 |       0.279 |  956.203 |  313.061
 Randomize |   24 |    244 |   0.709 |   0.454 |   1.974 |     nan |       0.078 |       0.268 |  936.865 |  302.666
 Randomize |   25 |    304 |   0.641 |   0.480 |   1.862 |     nan |       0.030 |       0.169 | 1023.793 |  308.166
