Experiment Results - 20250810_211425
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
 Randomize |   10 |    361 |   0.715 |   0.452 |   2.282 |     nan |       0.294 |       0.455 |  483.781 |   94.915
 Randomize |   11 |    374 |   0.717 |   0.451 |   1.974 |     nan |       0.139 |       0.346 |  472.344 |  103.752
 Randomize |   12 |    306 |   0.696 |   0.460 |   2.097 |     nan |       0.154 |       0.361 |  470.389 |   92.474
 Randomize |   13 |    337 |   0.739 |   0.439 |   1.831 |     nan |       0.077 |       0.267 |  465.653 |   97.324
 Randomize |   14 |    356 |   0.643 |   0.479 |   1.918 |     nan |       0.112 |       0.316 |  457.079 |   97.667
 Randomize |   15 |    342 |   0.655 |   0.475 |   1.842 |     nan |       0.064 |       0.245 |  452.933 |  100.491
 Randomize |   16 |    336 |   0.714 |   0.452 |   1.871 |     nan |       0.080 |       0.272 |  445.324 |  104.465
 Randomize |   17 |    345 |   0.704 |   0.456 |   1.751 |     nan |       0.058 |       0.234 |  439.655 |  100.036
 Randomize |   18 |    309 |   0.693 |   0.461 |   1.833 |     nan |       0.081 |       0.273 |  431.256 |  105.988
 Randomize |   19 |    328 |   0.723 |   0.448 |   1.747 |     nan |       0.030 |       0.172 |  429.901 |  103.174
 Randomize |   20 |    296 |   0.693 |   0.461 |   1.834 |     nan |       0.064 |       0.245 |  413.595 |  109.330
 Randomize |   21 |    328 |   0.692 |   0.462 |   1.737 |     nan |       0.015 |       0.123 |  440.047 |   86.846
 Randomize |   22 |    308 |   0.692 |   0.462 |   1.848 |     nan |       0.039 |       0.194 |  421.919 |  100.571
 Randomize |   23 |    296 |   0.676 |   0.468 |   1.759 |     nan |       0.017 |       0.129 |  424.480 |  100.344
 Randomize |   24 |    297 |   0.680 |   0.466 |   1.737 |     nan |       0.024 |       0.152 |  424.623 |   93.671
